source,author,title,description,url,urlToImage,publishedAt,content,topic
"{'id': None, 'name': 'DW (English)'}",Nina Werkhäuser,Living with the legacy of France's nuclear weapons testing,"France tested nuclear weapons for 30 years in the Pacific. The people of French Polynesia bore the brunt of the testing. ""For 30 years, we were France's guinea pigs,"" says Hinamoeura Morgant-Cross, a young member of parliament from French Polynesia.

This Sou…",https://www.dw.com/en/living-with-the-legacy-of-frances-nuclear-weapons-testing/a-74131800,https://static.dw.com/image/61087193_6.jpg,2025-09-25T11:12:00Z,"""For 30 years, we were France's guinea pigs,"" says Hinamoeura Morgant-Cross, a young member of parliament from French Polynesia.
This South Pacific archipelago, a French overseas territory that incl… [+7514 chars]",technology
"{'id': None, 'name': 'DW (English)'}",Nina Werkhäuser,Nuclear weapons testing: The victims are still suffering,"More than 2,000 nuclear weapons have been tested worldwide to date. The test sites remain contaminated, and many residents are ill. Here is one example from the South Pacific.",https://www.dw.com/en/nuclear-weapons-testing-the-victims-are-still-suffering/a-74131800,https://static.dw.com/image/61087193_6.jpg,2025-09-25T11:12:00Z,"""For 30 years, we were France's guinea pigs,"" says Hinamoeura Morgant-Cross, a young member of parliament from French Polynesia. This South Pacific archipelago a French overseas territory that includ… [+7438 chars]",technology
"{'id': None, 'name': 'Malwarebytes.com'}",Danny Bradbury,"TikTok is misusing kids’ data, says privacy watchdog","TikTok is scooping up data on hundreds of thousands of children who shouldn't have been on the platform, according to Canadian privacy commissioners.",https://www.malwarebytes.com/blog/news/2025/09/tiktok-is-misusing-kids-data-says-privacy-watchdog,https://www.malwarebytes.com/wp-content/uploads/sites/2/2024/04/TikTok_logo.png,2025-09-25T11:11:06Z,"A group of privacy commissioners in Canada have accused TikTok of scooping up information about hundreds of thousands of children who shouldn’t have been on the platform. 
The Chinese social media g… [+3760 chars]",technology
"{'id': None, 'name': 'GamesRadar+'}","catherine.lewis@futurenet.com (Catherine Lewis) , Catherine Lewis","Forza Horizon 6 devs worked ""closely"" with a cultural consultant to ensure they were being ""authentic and respectful"" with the racing game's Japan setting","Playground Games knows the Japan setting is ""something that the fans have been wishing for"" from the start of the series",https://www.gamesradar.com/games/forza-horizon/forza-horizon-6-devs-worked-closely-with-a-cultural-consultant-to-ensure-they-were-being-authentic-and-respectful-with-the-racing-games-japan-setting/,https://cdn.mos.cms.futurecdn.net/A27QiXoGxAgD4qmXSoSgN6.jpg,2025-09-25T11:10:00Z,"Forza Horizon 6 has been revealed, and it's finally taking racing game fans to Japan – a location that developer Playground Games knows players have been wanting since the start of the series. Howeve… [+1942 chars]",technology
"{'id': None, 'name': 'Bleeding Cool News'}",Rich Johnston,"Star Trek's Future: The Gorn, Burn, Borg & James T Kirk (Spoilers)","IDW is publishing a new Star Trek comic book, The Last Starship, by Jackson Lanzing, Collin Kelly, and Adrián Bonilla with a dodgy logo, but a plotline seared in Star Trek continuity, a story never told, somewhere between Picard and Discovery, but drawing on …",https://bleedingcool.com/comics/star-treks-future-the-gorn-burn-borg-james-t-kirk-spoilers/,https://bleedingcool.com/wp-content/uploads/2025/09/Star-Trek-6.jpeg,2025-09-25T11:09:03Z,"Posted in: Comics, IDW | Tagged: 
Star Trek's Future: The Gorn, The Burn, The Borg And James T Kirk in The Last Starship by Jackson Lanzing, Collin Kelly, Adrián Bonilla
<ul><li>The Last Starship c… [+6636 chars]",technology
"{'id': None, 'name': 'PC Gamer'}",James Bentley,"Intel has reportedly approached Apple for an investment, after CEO Tim Cook said 'we'd love to see Intel come back'",I just hope Apple doesn't go back to using Intel chips.,https://www.pcgamer.com/hardware/intel-has-reportedly-approached-apple-for-an-investment-after-ceo-tim-cook-said-wed-love-to-see-intel-come-back/,https://cdn.mos.cms.futurecdn.net/JbR4PMw2DEAo9j4KbxGyYo.jpg,2025-09-25T11:08:53Z,"After receiving a cash injection from SoftBank Group, Nvidia, and even the US government, Intel is now seeking investment from iPhone creator and longtime collaborator Apple.
As reported by Bloomber… [+2902 chars]",technology
"{'id': None, 'name': 'BBC News'}",,Sonic the Hedgehog series boss tells us how the series keeps up to speed,"The video game icon has been taking shots at an old rival, but the real competition comes from newer games.",https://www.bbc.com/news/articles/cy8ry1vn097o,https://ichef.bbci.co.uk/news/1024/branded_news/24f1/live/378389d0-99f5-11f0-928c-71dbb8619e94.png,2025-09-25T11:07:07Z,"Peter GillibrandBBC Newsbeat
Sonic's back with a new racing game - but who's he jostling for pole position with? 
""Sega does what Nintendon't"".
The slogan, from the 1990s, is one of the most famou… [+4876 chars]",technology
"{'id': None, 'name': 'CNET'}",Kourtnee Jackson,"DirecTV MySports Review: Gives Sports Fans the Basics, but Gets You to the Action Fast","Bundled with ESPN Unlimited, the slim package is competitively priced if you don't need RSNs.",https://www.cnet.com/tech/services-and-software/directv-my-sports-review/,https://www.cnet.com/a/img/resize/3975ef256d7b94e43450638aad3dbee2acc01704/hub/2025/09/08/0aa4755a-4457-4b4a-ad1a-afbcb92bbd3f/directtv.jpg?auto=webp&fit=crop&height=675&width=1200,2025-09-25T11:07:00Z,"DirecTV’s streaming packages have been around in some shape or form since 2016, and this year, the offerings have expanded to include both its signature plans and new Genre Packs. Slimmed down in ter… [+10313 chars]",technology
"{'id': None, 'name': 'GlobeNewswire'}",SciSparc Ltd,SciSparc Resolves to Launch Innovative Quantum Computing-Enabled 3D Protein Modeling Initiative to Revolutionize AI Drug Discovery,"TEL AVIV, Israel, Sept. 25, 2025 (GLOBE NEWSWIRE) -- SciSparc Ltd. (Nasdaq: SPRC) (the ""Company"" or ""SciSparc""), a specialty clinical-stage pharmaceutical company focusing on the development of therapies to treat disorders of the central nervous system, today…",https://www.globenewswire.com/news-release/2025/09/25/3156166/0/en/SciSparc-Resolves-to-Launch-Innovative-Quantum-Computing-Enabled-3D-Protein-Modeling-Initiative-to-Revolutionize-AI-Drug-Discovery.html,https://ml.globenewswire.com/Resource/Download/bcad2b2c-74a6-4d74-b0f3-6f42a3c00a90,2025-09-25T11:05:00Z,"TEL AVIV, Israel, Sept. 25, 2025 (GLOBE NEWSWIRE) -- SciSparc Ltd. (Nasdaq: SPRC) (the ""Company"" or ""SciSparc""), a specialty clinical-stage pharmaceutical company focusing on the development of thera… [+4953 chars]",technology
"{'id': None, 'name': 'GlobeNewswire'}",Kraig Biocraft Laboratories,"Kraig Biocraft Laboratories Successfully Completes First Parallel Two-Facility Production Cycle, Establishing Model for Continuous Recombinant Spider Silk Supply Chain",Kraig Labs (OTCQB: KBLB) successfully completed its first simultaneous spider silk production cycle across two independent rearing centers......,https://www.globenewswire.com/news-release/2025/09/25/3156165/0/en/Kraig-Biocraft-Laboratories-Successfully-Completes-First-Parallel-Two-Facility-Production-Cycle-Establishing-Model-for-Continuous-Recombinant-Spider-Silk-Supply-Chain.html,https://ml.globenewswire.com/Resource/Download/3cf5ab91-0822-460b-bb13-17447941c84a,2025-09-25T11:05:00Z,"ANN ARBOR, Mich., Sept. 25, 2025 (GLOBE NEWSWIRE) -- Kraig Biocraft Laboratories, Inc. (OTCQB: KBLB) (""Company"" or ""Kraig Labs""), a world leader in spider silk technology*, today announced the succes… [+4620 chars]",technology
