source,author,title,description,url,urlToImage,publishedAt,content,topic
"{'id': None, 'name': 'Livemint'}",mint,The EV challenge: Ford and GM are running out of time to reinvent themselves in the wake of a Chinese expansion,"A protectionist and EV-sceptic administration in Washington has won them time but they would do themselves a favour by using it to get their innovation strategies right as new technology vehicles, particularly by the Chinese, gain ground around the world amid…",https://www.livemint.com/opinion/online-views/the-ev-challenge-ford-and-gm-are-running-out-of-time-to-reinvent-themselves-in-the-wake-of-chinese-expansion-tesla-byd-11766660255160.html,https://www.livemint.com/lm-img/img/2025/12/25/1600x900/logo/im-858040_1695820375993_1766660501713.jpg,2025-12-26T07:30:44Z,"His more measured counterparts in Detroit donned them virtually via flattery to President Donald Trump, even (especially?) when he was tormenting them.
Most surprisingly, Toyota Motor Corp.s Chairma… [+6221 chars]",technology
"{'id': None, 'name': 'Wallpaper*'}",Jonathan Bell,"Top 10 gadgets of 2025, as chosen by technology editor Jonathan Bell",What were the most desirable launches of the last 12 months? We’ve checked the archives to bring you this list of the year’s ten best devices,https://www.wallpaper.com/tech/top-10-gadgets-of-2025,https://cdn.mos.cms.futurecdn.net/vUNBPBBiAxHBW8XmLZZgp4-2560-80.jpg,2025-12-26T07:30:00Z,"It was business as usual in 2025, with only the spectre of AI attempting to re-shape the way we interact with every form of personal tech. Last year we suggested that Google’s Gemini – and its many r… [+2928 chars]",technology
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Online,$15 billion haul: The year world fell in love with an Indian business,"Year ender 2025 special: India's banking sector became a global money magnet in 2025, attracting an estimated $14-15 billion in foreign investment. Major deals by Mitsubishi UFJ and Emirates NBD signaled deep strategic engagement, not just passive participati…",https://economictimes.indiatimes.com/industry/banking/finance/banking/year-ender-2025-15-billion-haul-the-year-world-fell-in-love-with-an-indian-business/articleshow/126185203.cms,"https://img.etimg.com/thumb/msid-126185323,width-1200,height-630,imgsize-37228,overlay-economictimes/articleshow.jpg",2025-12-26T07:23:08Z,"The year 2025 turned the Indian banking industry into a global money magnet. The banking, financial services and insurance (BFSI) sector registered a blockbuster year of foreign interest. Foreign ban… [+6178 chars]",technology
"{'id': None, 'name': 'Livemint'}",Priyanka Sharma,"India sets 2026 health agenda: Drug quality, innovation, TB and obesity take centre stage","The Indian government plans to enhance drug quality and digital health by 2026, with a focus on good manufacturing practices. The pharmaceutical market is expected to expand significantly, but small manufacturers face challenges in compliance and capital inve…",https://www.livemint.com/industry/india-health-2026-agenda-quality-drugs-innovation-obesity-tb-weight-loss-r-d-gmp-ai-pollution-digital-healthcare-11765903909679.html,https://www.livemint.com/lm-img/img/2025/12/23/1600x900/logo/high_med_1766485995127_1766486004252.jpg,2025-12-26T07:21:49Z,"NEW DELHI: India is pushing to upgrade its image from the 'pharmacy of the world' to a global life sciences hub, a goal that faces critical execution risks, especially concerning quality standards an… [+5236 chars]",technology
"{'id': None, 'name': 'Livemint'}",Sowmya Ramasubramanian,"Prosus-backed ElasticRun's quick commerce wing is bringing speed to FMCG, grocery deliveries in small towns","In FY25, ElasticRun narrowed its net loss to  ₹145 crore from  ₹360 crore in the previous year, helped by improved efficiencies in logistics and focus on regional brands.",https://www.livemint.com/companies/prosus-elasticrun-quick-commerce-fmcg-groceries-deliveries-small-towns-food-merchandise-pharma-11766724416565.html,https://www.livemint.com/lm-img/img/2025/12/26/1600x900/logo/gc6fa4dc0eb73abbd5aa794bba6561c55afeebf915b1973564_1718863365703_1766732869759.jpg,2025-12-26T07:17:12Z,"The B2B e-commerce unicorn is expanding its network of dark stores, aiming to offer two-to-four-hour deliveries in tier-2 and tier-3 towns, effectively bridging the gap between high-speed urban fulfi… [+3782 chars]",technology
"{'id': None, 'name': 'Digitimes'}",Jingyue Hsiao,Egis Technology Group outlines dual cloud and edge AI strategy targeting 2026 results,"Egis Technology Group recently held an investor briefing to present its operational outlook for 2026, focusing on a dual approach to cloud AI and edge AI development. The group aims to deliver tangible outcomes by 2026 and 2027 through leveraging the strength…",https://www.digitimes.com/news/a20251226PD205/egis-technology-2026-cloud-ai-outlook-alcor-micro.html,https://img.digitimes.com/newsshow/20251226pd205_files/1_b.jpg,2025-12-26T07:14:54Z,"Save my User ID and Password
Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this function… [+307 chars]",technology
"{'id': None, 'name': 'India Today'}",Rajendra Upadhyaya,Which insurance trends and opportunities will define 2026?,Powered by artificial intelligence rising climate risks and changing customer expectations the insurance industry is now silently transforming itself Some of the trends that we may see in 2026 could look very different from what most people expect today,https://www.indiatoday.in/business/story/how-will-insurance-industry-trends-create-new-opportunities-in-2026-2842021-2025-12-26,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202512/insurance-26501164-16x9_0.jpg?VersionId=mKcOcAcH4ST4gXO.31qhAEimG_SIkGu9,2025-12-26T07:13:29Z,"For decades, insurance has been viewed as a slow-moving industry with little history of innovation. Over the last two decades, changes in regulations and the participation of new players have helped … [+6353 chars]",technology
"{'id': None, 'name': 'The Christian Post'}",Samantha Kamman,"2 Timothy 3:16 is Logos' Bible verse of the year, Matthew was the most studied book","One of the most-studied Bible verses of the year is from 2 Timothy in the New Testament, according to an analysis of millions of Bible study sessions that tracked how believers worldwide are engaging with Scripture.",https://www.christianpost.com/news/christians-hungry-for-more-in-depth-bible-reading-survey.html,https://www.christiantoday.com/media/original/thumbnail/14/42/144232.jpg,2025-12-26T07:09:00Z,"The study identified a hunger for in-depth Bible study. (Photo: Getty/iStock)
One of the most-studied Bible verses of the year is from 2 Timothy in the New Testament, according to an analysis of mil… [+3746 chars]",technology
"{'id': None, 'name': 'Lifesciencesworld.com'}",Noah Whitman,Are oceanographers in demand?,"Are Oceanographers in Demand? Exploring the Current Job Market Yes, oceanographers are in demand, particularly those with specialized skills in emerging areas like climate change research, renewable energy, and coastal management. The need for experts who can…",https://www.lifesciencesworld.com/are-oceanographers-in-demand/,,2025-12-26T07:05:07Z,"Yes, oceanographers are in demand, particularly those with specialized skills in emerging areas like climate change research, renewable energy, and coastal management. The need for experts who can un… [+11331 chars]",technology
"{'id': None, 'name': 'Khabarhub.com'}",Khabarhub,"Kharel steps up political outreach, meets Deuba and Oli to build election environment","KATHMANDU: Government Spokesperson and Minister for Communication and Information Technology Jagdish Kharel has intensified political consultations, holding back-to-back meetings with top leaders of major political parties on Friday. Kharel met Nepali Congres…",https://english.khabarhub.com/2025/26/513127/,https://english.khabarhub.com/wp-content/uploads/2025/12/Jagadish-Kharel-KP-Sharma-Oli.jpg,2025-12-26T07:04:23Z,"KATHMANDU: Government Spokesperson and Minister for Communication and Information Technology Jagdish Kharel has intensified political consultations, holding back-to-back meetings with top leaders of … [+1047 chars]",technology
